,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Class
7.101171189,4.922156788,"[44095683.0, 11447207783.0, 12064839074.0, 3259224022451.0, 3136036576697.0, 3681789931118.0, 994390857898289.0, 894162737790749.0, 957717772145921.0, 1207694892209486.0, 287537065540.14404, 4012978184.2998047, 380778766793.4297, -990201636402.625, 336280284808.4219, -268210900698.26562, -8031193981990.25, 0.00014787735998842664, 2.063833469506401e-06, 0.0001958306094112925, -7.668906718438094e-08, 2.6044212013369945e-08, -2.0772379106500626e-08, -6.219993506506524e-07]","[0.00034370796939971914, 2.3165517645710057e-09, 4.903913511555946e-13, 3.6466126078129297e-13, 1.3482149503321373e-25, 1.7055193784482737e-17, 7.485422953152056e-26]",36602,0.628747342,-1,-1,-1,2639,9116.311645,440,"(112, 144, 419, 379)",72145,"(276.6167149336102, 258.57644391016885)",55637,"[[112 264]
 [112 265]
 [112 266]
 ...
 [418 259]
 [418 267]
 [418 268]]",215.8775436,0.507339386,54687,"[[7289.17091672  -80.44705021]
 [ -80.44705021 4411.19803863]]","[7291.417872945725, 4408.951082404883]",1,"(164.61671493361018, 114.57644391016885)",341.5591983,265.5997314,-1.542872715,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
7.969177128,5.523812658,"[56440008.0, 14333658215.0, 15237516435.0, 4113149682249.0, 3879074170496.0, 4802642149871.0, 1287025132307741.0, 1114749865650480.0, 1225638321010566.0, 1670169883704759.0, 472934786736.6362, 9312978670.243164, 688859828881.6924, 2222817704477.0, -437148308303.7656, 917650590090.6875, 1612986652667.25, 0.00014846604054915207, 2.923576585326708e-06, 0.00021625030375357817, 9.288298856333698e-08, -1.826674370951813e-08, 3.8345082951634684e-08, 6.740049825532491e-08]","[0.00036471634430273027, 4.628895538367995e-09, 1.542374089797744e-14, 1.9634932589306106e-14, -3.2470293391081097e-28, -9.28258251768459e-19, -1.06412736546672e-28]",29798,0.636737589,-1,-1,-1,979,4445.495248,468,"(45, 99, 306, 414)",82215,"(191.57970333579433, 250.20273172696153)",58921,"[[ 45 245]
 [ 45 246]
 [ 45 247]
 ...
 [304 230]
 [305 216]
 [305 217]]",194.7819087,0.362439944,34167,"[[3652.86040018  105.85173461]
 [ 105.85173461 6131.6496509 ]]","[6136.161624566115, 3648.348426518341]",1,"(146.57970333579433, 151.20273172696153)",313.334623,241.6062392,0.042599623,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
7.620399085,5.282058141,"[63801621.0, 16603482695.0, 17278460403.0, 4769808032407.0, 4509890871854.0, 5365590143173.0, 1474347779516777.0, 1301964830642528.0, 1403746895509536.0, 1816378542406239.0, 448983055198.90674, 13412352954.719727, 686317278020.5791, -611452306316.75, 3246687443290.047, 162295213661.90625, -8436357702465.25, 0.00011029771743922716, 3.2948947610940083e-06, 0.0001686015281161053, -1.8805431592688687e-08, 9.985301876677174e-08, 4.991446604763858e-09, -2.5946316012908713e-07]","[0.00027889924555533246, 3.44275966539199e-09, 3.1364691141794943e-13, 2.5666223406944918e-14, 2.186404277662152e-27, 1.5032458657113974e-18, 7.229806603432898e-28]",72834,0.649101366,-1,-1,-1,9107,25749.34448,409,"(75, 115, 453, 410)",111510,"(272.2306065848368, 259.8148117637367)",87902,"[[ 75 264]
 [ 75 265]
 [ 76 238]
 ...
 [452 286]
 [452 287]
 [452 288]]",304.5244309,0.653161151,87086,"[[8690.57301167 -204.87060194]
 [-204.87060194 5047.08007498]]","[8702.056523021405, 5035.5965636259125]",1,"(197.23060658483675, 144.8148117637367)",373.139256,283.8477497,-1.51480241,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
5.559730783,3.853711717,"[14742042.0, 3796445828.0, 4069123640.0, 1081075560082.0, 1052276338721.0, 1277851840456.0, 331519041102716.0, 300770960883809.0, 331940460287785.0, 438632080146350.0, 103395471737.48132, 4374869800.061157, 154685375619.7954, -138907941912.8125, 117358719544.57422, 446420265920.6875, 524186422360.0625, 0.00047575814336259383, 2.01302813223267e-05, 0.0007117606397412622, -1.664688450160554e-07, 1.4064401377000342e-07, 5.349950840551799e-07, 6.281909234401313e-07]","[0.001187518783103856, 5.731809120142745e-08, 3.1805923448790274e-12, 7.269187495352337e-13, 1.0981377795389532e-24, 1.302654128422339e-16, -1.2568359132268522e-25]",93243,0.576437487,-1,-1,-1,2371,14375.52149,72,"(87, 77, 479, 414)",132104,"(280.14256298059905, 256.95533176753213)",101240,"[[ 87 296]
 [ 87 297]
 [ 88 296]
 ...
 [478 293]
 [478 294]
 [478 295]]",344.5586668,0.705830255,93515,"[[9176.74954592 -491.7644303 ]
 [-491.7644303  6262.14275556]]","[9257.485630245592, 6181.406671236673]",5,"(193.14256298059908, 179.95533176753216)",384.8633135,314.4876893,-1.408071644,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
7.944905095,5.506988566,"[80497945.0, 20386729841.0, 21149690671.0, 5751510100389.0, 5360443378845.0, 6452097561599.0, 1755734509462469.0, 1517305341615915.0, 1636634873803039.0, 2157579022202689.0, 588412413734.7646, 4119935676.419922, 895317006778.8193, 1079872971859.75, 4091016137737.2188, 426140445000.40625, -8081518555804.75, 9.080551781349282e-05, 6.358004755219704e-07, 0.00013816792866716128, 1.857422437174021e-08, 7.036702800318826e-08, 7.329777154880738e-09, -1.3900518193485707e-07]","[0.0002289734464806541, 2.2448149308503885e-09, 1.2258606041000223e-13, 5.382213470238643e-15, 6.602912062165603e-29, 1.8683079182417534e-19, -1.2146165863917245e-28]",69672,0.650130498,-1,-1,-1,4525,16476.95184,470,"(83, 115, 433, 387)",95200,"(262.4324118727753, 252.31260764726144)",75615,"[[ 83 228]
 [ 83 229]
 [ 83 230]
 ...
 [432 257]
 [432 258]
 [432 259]]",297.8408057,0.731848739,73467,"[[7998.43127408  -26.71730493]
 [ -26.71730493 4618.07006266]]","[7998.642426008406, 4617.858910725895]",3,"(179.43241187277528, 137.31260764726144)",357.7405188,271.8193197,-1.562893302,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
7.407678033,5.134611143,"[35712829.0, 9235410665.0, 8620774524.0, 2698747957439.0, 2227084154868.0, 2450498377938.0, 858206899615109.0, 649738873133510.0, 632264171449738.0, 771321665042814.0, 310451859384.272, -2265779283.3911133, 369516403823.1118, -261817453826.625, -544161959297.5, -345844114340.4531, 1395844039163.125, 0.00024341411410208267, -1.7765158762822363e-06, 0.0002897244946806944, -3.435088727816033e-08, -7.139495802013792e-08, -4.5375325494499094e-08, 1.8313706953599778e-07]","[0.0005331386087827771, 2.1572753839705905e-09, 1.6822289564598432e-13, 1.8842568489094222e-14, -3.9876324527848215e-29, 3.47190368073549e-19, -1.0600971627300364e-27]",48303,0.535728303,-1,-1,-1,1885,9467.68129,296,"(20, 103, 409, 419)",122924,"(234.82253690246984, 259.53125064695774)",84839,"[[ 20 252]
 [ 20 253]
 [ 20 254]
 ...
 [408 243]
 [408 244]
 [408 245]]",247.9945357,0.392950116,73599,"[[8103.52903104   74.5381678 ]
 [  74.5381678  5781.87231802]]","[8105.919661538664, 5779.48168751784]",1,"(214.82253690246984, 156.53125064695774)",360.131524,304.0916096,1.538734749,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
7.333772564,5.083383775,"[30020589.0, 7735813732.0, 7199242264.0, 2277266145650.0, 1850270298536.0, 2027590168856.0, 732375976486054.0, 542780389802650.0, 519880121569478.0, 634021549628818.0, 283873740983.9968, -4856433515.991699, 301138726622.0105, -737404076013.125, -828323270126.5, -267387470507.09375, 3352573289025.0, 0.0003149827740450335, -5.388638257029121e-06, 0.00033413978748086156, -1.4933359211358504e-07, -1.6774587147394612e-07, -5.414932295041841e-08, 6.78938221742686e-07]","[0.000649122561525895, 4.831408528409692e-10, 1.39771169448851e-12, 3.027229156962225e-13, 8.483473960428021e-26, 6.454944414762065e-18, -1.7770260953568217e-25]",38953,0.37580685,-1,-1,-1,815,5562.025081,274,"(48, 106, 402, 420)",111156,"(235.32742022437296, 258.34451775216286)",78362,"[[ 48 256]
 [ 49 255]
 [ 49 256]
 ...
 [401 243]
 [401 244]
 [401 245]]",222.7027166,0.350435424,68453,"[[7075.26075225  164.74397298]
 [ 164.74397298 6127.73923887]]","[7103.087307215408, 6099.912683907852]",1,"(187.32742022437296, 152.34451775216286)",337.1192622,312.4077511,1.403467807,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
5.065516819,3.511148701,"[13664452.0, 3466020857.0, 3654016106.0, 960437637669.0, 926049581991.0, 1117100805270.0, 284969837930525.0, 257214455221719.0, 282942057450947.0, 372705237026822.0, 81273176396.86023, -800322799.1755371, 139979022200.51404, 122268996119.3125, 789482905041.5039, 14801704361.40625, -882780826200.5625, 0.00043527406850224054, -4.286282096459264e-06, 0.0007496844740097672, 1.7714781418130468e-07, 1.1438318412718094e-06, 2.1445253146777412e-08, -1.279005297548976e-06]","[0.0011849585425120078, 9.892739194824908e-08, 2.2201544547769614e-11, 5.771106967269122e-14, -6.404708980285222e-26, -6.194980337621757e-18, -1.2858571313115478e-26]",88929,0.648639013,-1,-1,-1,29646,51340.29542,75,"(60, 100, 462, 409)",124218,"(266.9314509327666, 253.70704719495328)",98110,"[[ 60 245]
 [ 60 246]
 [ 60 247]
 ...
 [460 283]
 [461 254]
 [461 267]]",336.4935653,0.715910738,90873,"[[ 9.57806122e+03 -8.24074441e+00]
 [-8.24074441e+00  5.54828553e+03]]","[9578.078070731506, 5548.268679129726]",1,"(206.93145093276658, 153.70704719495328)",391.4706236,297.9468054,-1.568751375,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
6.43205073,4.458357829,"[35110606.0, 8995831722.0, 9077167406.0, 2509065103736.0, 2328406135800.0, 2591389371786.0, 747483203609124.0, 650538750260412.0, 665423018925488.0, 795092697191942.0, 204206327714.2622, 2708012082.0771484, 244663481707.4077, -15685305573.25, 480883952224.58594, 72358991588.91406, -1366865625532.875, 0.0001656504212768291, 2.196716170551324e-06, 0.00019846891753813785, -2.147321984478062e-09, 6.583312500813421e-08, 9.905962793515661e-09, -1.8712422233836958e-07]","[0.00036411933881496696, 1.0963559445893821e-09, 1.489507032798872e-13, 1.4771726798776298e-14, 6.887855387756049e-28, 4.725658283634369e-19, -7.53632864767951e-29]",21054,0.64445634,-1,-1,-1,647,3663.331134,578,"(142, 172, 362, 343)",37620,"(258.84962477438967, 256.14372565783225)",30486,"[[142 244]
 [142 245]
 [142 254]
 ...
 [361 298]
 [361 304]
 [361 305]]",163.7277783,0.559649123,29647,"[[4000.04616282  -96.68039496]
 [ -96.68039496 2347.66472339]]","[4005.683673038403, 2342.02721316827]",1,"(116.84962477438967, 84.14372565783223)",253.1618825,193.5779828,-1.512551491,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
4.221991898,2.926461781,"[9091790.0, 2305053911.0, 2514251633.0, 625027877433.0, 640006074403.0, 753342792771.0, 179181380952521.0, 174430434029559.0, 192512682180711.0, 240123325850747.0, 40624417540.45996, 2564430910.9277344, 58049426553.43811, 118083358930.09375, 284345689651.1465, 98317131420.60742, -312834459451.34375, 0.0004914602026376747, 3.102360135698309e-05, 0.0007022619563354975, 4.7376743811979953e-07, 1.1408358480569886e-06, 3.9446248733493617e-07, -1.2551368944170816e-06]","[0.0011937221589731722, 4.828723472670553e-08, 2.2383918072152245e-11, 7.668879326541481e-13, -1.6424238455714197e-24, -1.6846826322669511e-16, 2.719933193970138e-24]",55936,0.59858915,-1,-1,-1,3078,12491.4558,70,"(104, 132, 418, 375)",76302,"(268.986448798627, 253.32481764874143)",60721,"[[104 250]
 [104 251]
 [105 250]
 ...
 [416 254]
 [416 289]
 [417 253]]",266.8706188,0.733086944,56710,"[[5650.29765675 -223.64500879]
 [-223.64500879 3666.62638351]]","[5675.1994592139035, 3641.724581052289]",1,"(164.986448798627, 121.32481764874142)",301.3356788,241.3868126,-1.459907859,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]",0
