Date,Prices
01/07/19,401
02/07/19,401
03/07/19,401
04/07/19,401
05/07/19,395
06/07/19,391
07/07/19,389
08/07/19,375
09/07/19,375
10/07/19,375
11/07/19,375
12/07/19,360
13/07/19,350
14/07/19,343
15/07/19,343
16/07/19,340
17/07/19,340
18/07/19,325
19/07/19,315
20/07/19,312
21/07/19,307
22/07/19,298
23/07/19,290
24/07/19,290
25/07/19,390
26/07/19,290
27/07/19,290
28/07/19,292
29/07/19,300
30/07/19,310
31/07/19,310
01/08/19,315
02/08/19,315
03/08/19,305
04/08/19,295
05/08/19,290
06/08/19,290
07/08/19,291
08/08/19,300
09/08/19,302
10/08/19,311
11/08/19,320
12/08/19,320
13/08/19,320
14/08/19,321
15/08/19,322
16/08/19,324
17/08/19,325
18/08/19,325
19/08/19,325
20/08/19,320
21/08/19,316
22/08/19,310
23/08/19,311
24/08/19,325
25/08/19,326
26/08/19,333
27/08/19,333
28/08/19,333
29/08/19,323
30/08/19,323
31/08/19,317
01/09/19,317
02/09/19,320
03/09/19,320
04/09/19,321
05/09/19,325
06/09/19,327
07/09/19,331
08/09/19,335
09/09/19,337
10/09/19,344
11/09/19,349
12/09/19,349
13/09/19,350
14/09/19,350
15/09/19,355
16/09/19,359
17/09/19,370
18/09/19,377
19/09/19,385
20/09/19,395
21/09/19,395
22/09/19,390
23/09/19,390
24/09/19,392
25/09/19,396
26/09/19,396
27/09/19,396
28/09/19,396
29/09/19,396
30/09/19,396
01/10/19,396
02/10/19,396
03/10/19,400
04/10/19,402
05/10/19,402
06/10/19,402
07/10/19,404
08/10/19,404
09/10/19,404
10/10/19,404
11/10/19,406
12/10/19,402
13/10/19,402
14/10/19,402
15/10/19,395
16/10/19,390
17/10/19,390
18/10/19,390
19/10/19,375
20/10/19,375
21/10/19,377
22/10/19,381
23/10/19,386
24/10/19,390
25/10/19,393
26/10/19,400
27/10/19,400
28/10/19,401
29/10/19,402
30/10/19,402
31/10/19,402
01/11/19,392
02/11/19,392
03/11/19,392
04/11/19,392
05/11/19,393
06/11/19,392
07/11/19,393
08/11/19,397
09/11/19,398
10/11/19,401
11/11/19,408
12/11/19,421
13/11/19,426
14/11/19,435
15/11/19,438
16/11/19,438
17/11/19,438
18/11/19,438
19/11/19,438
20/11/19,438
21/11/19,438
22/11/19,425
23/11/19,425
24/11/19,439
25/11/19,451
26/11/19,458
27/11/19,463
28/11/19,463
29/11/19,463
30/11/19,463
01/12/19,463
02/12/19,464
03/12/19,464
04/12/19,460
05/12/19,450
06/12/19,439
07/12/19,439
08/12/19,451
09/12/19,451
10/12/19,446
11/12/19,438
12/12/19,442
13/12/19,446
14/12/19,451
15/12/19,451
16/12/19,451
17/12/19,451
18/12/19,452
19/12/19,452
20/12/19,442
21/12/19,442
22/12/19,448
23/12/19,460
24/12/19,483
25/12/19,483
26/12/19,483
27/12/19,483
28/12/19,478
29/12/19,478
30/12/19,482
31/12/19,489
01/01/20,490
02/01/20,491
03/01/20,482
04/01/20,472
05/01/20,458
06/01/20,457
07/01/20,458
08/01/20,458
09/01/20,450
10/01/20,440
11/01/20,433
12/01/20,433
13/01/20,418
14/01/20,420
15/01/20,423
16/01/20,426
17/01/20,426
18/01/20,420
19/01/20,405
20/01/20,395
21/01/20,395
22/01/20,385
23/01/20,372
24/01/20,365
25/01/20,360
26/01/20,360
27/01/20,360
28/01/20,360
29/01/20,360
30/01/20,360
31/01/20,360
01/02/20,330
02/02/20,330
03/02/20,330
04/02/20,315
05/02/20,300
06/02/20,305
07/02/20,321
08/02/20,330
09/02/20,340
10/02/20,355
11/02/20,375
12/02/20,375
13/02/20,375
14/02/20,375
15/02/20,377
16/02/20,377
17/02/20,362
18/02/20,325
19/02/20,325
20/02/20,325
21/02/20,325
22/02/20,325
23/02/20,313
24/02/20,300
25/02/20,315
26/02/20,320
27/02/20,317
28/02/20,312
29/02/20,300
01/03/20,300
02/03/20,300
03/03/20,290
04/03/20,280
05/03/20,280
06/03/20,280
07/03/20,280
08/03/20,294
09/03/20,299
10/03/20,299
11/03/20,285
12/03/20,275
13/03/20,265
14/03/20,265
15/03/20,245
16/03/20,229
17/03/20,221
18/03/20,216
19/03/20,200
20/03/20,170
21/03/20,170
22/03/20,170
23/03/20,210
24/03/20,250
25/03/20,250
26/03/20,250
27/03/20,250
28/03/20,250
29/03/20,250
30/03/20,245
31/03/20,245
01/04/20,200
02/04/20,200
03/04/20,200
04/04/20,225
05/04/20,260
06/04/20,265
07/04/20,265
08/04/20,265
09/04/20,265
10/04/20,265
11/04/20,240
12/04/20,240
13/04/20,250
14/04/20,255
15/04/20,260
16/04/20,270
17/04/20,300
18/04/20,312
19/04/20,320
20/04/20,322
21/04/20,324
22/04/20,324
23/04/20,314
24/04/20,300
25/04/20,300
26/04/20,300
27/04/20,290
28/04/20,285
29/04/20,285
30/04/20,295
01/05/20,305
02/05/20,310
03/05/20,310
04/05/20,310
05/05/20,310
06/05/20,295
07/05/20,290
08/05/20,275
09/05/20,260
10/05/20,260
11/05/20,260
12/05/20,260
13/05/20,272
14/05/20,290
15/05/20,290
16/05/20,290
17/05/20,290
18/05/20,290
19/05/20,290
20/05/20,270
21/05/20,270
22/05/20,270
23/05/20,270
24/05/20,270
25/05/20,270
26/05/20,270
27/05/20,270
28/05/20,270
29/05/20,272
30/05/20,282
31/05/20,300
01/06/20,321
02/06/20,321
03/06/20,335
04/06/20,355
05/06/20,405
